start_neighborhood,trip_duration
Financial District-Battery Park City,545.0
Chelsea-Hudson Yards,675.0
West Village,1199.0
Chelsea-Hudson Yards,647.0
Midtown-Times Square,614.0
Midtown-Times Square,992.0
East Midtown-Turtle Bay,362.0
Greenwich Village,588.0
Midtown-Times Square,338.0
Chelsea-Hudson Yards,495.0
East Midtown-Turtle Bay,1924.0
Murray Hill-Kips Bay,497.0
Chelsea-Hudson Yards,785.0
East Village,320.0
Tribeca-Civic Center,533.0
Greenwich Village,212.0
Midtown South-Flatiron-Union Square,472.0
SoHo-Little Italy-Hudson Square,932.0
Midtown-Times Square,1046.0
Tribeca-Civic Center,683.0
Chinatown-Two Bridges,1961.0
Midtown South-Flatiron-Union Square,391.0
Midtown South-Flatiron-Union Square,272.0
East Village,1438.0
Midtown South-Flatiron-Union Square,627.0
Fort Greene,1140.0
Upper West Side-Lincoln Square,1854.0
Chinatown-Two Bridges,596.0
East Midtown-Turtle Bay,340.0
East Village,252.0
Midtown South-Flatiron-Union Square,808.0
SoHo-Little Italy-Hudson Square,566.0
East Midtown-Turtle Bay,472.0
Chelsea-Hudson Yards,680.0
East Village,1385.0
Financial District-Battery Park City,1369.0
Park Slope,1733.0
Gramercy,397.0
West Village,1027.0
East Village,1805.0
SoHo-Little Italy-Hudson Square,786.0
Fort Greene,986.0
Chelsea-Hudson Yards,445.0
Greenwich Village,503.0
East Village,410.0
Midtown-Times Square,460.0
Gramercy,752.0
West Village,700.0
Midtown-Times Square,1485.0
Fort Greene,343.0
SoHo-Little Italy-Hudson Square,266.0
Murray Hill-Kips Bay,687.0
Lower East Side,1707.0
Chelsea-Hudson Yards,388.0
West Village,297.0
Murray Hill-Kips Bay,581.0
Greenwich Village,166.0
Gramercy,619.0
Midtown South-Flatiron-Union Square,348.0
West Village,509.0
West Village,670.0
Midtown-Times Square,258.0
East Village,1078.0
Financial District-Battery Park City,1814.0
Greenwich Village,1869.0
Greenwich Village,1009.0
Murray Hill-Kips Bay,1852.0
Fort Greene,277.0
Stuyvesant Town-Peter Cooper Village,555.0
Chelsea-Hudson Yards,984.0
Chelsea-Hudson Yards,1544.0
Murray Hill-Kips Bay,162.0
Gramercy,836.0
Murray Hill-Kips Bay,847.0
Financial District-Battery Park City,1297.0
Hell's Kitchen,577.0
Midtown South-Flatiron-Union Square,225.0
East Village,330.0
East Village,1172.0
Financial District-Battery Park City,645.0
Chinatown-Two Bridges,283.0
West Village,662.0
Lower East Side,721.0
Murray Hill-Kips Bay,1381.0
East Village,365.0
Chelsea-Hudson Yards,1003.0
Hell's Kitchen,177.0
Gramercy,156.0
Midtown-Times Square,360.0
Hell's Kitchen,965.0
West Village,738.0
Chelsea-Hudson Yards,1206.0
Stuyvesant Town-Peter Cooper Village,307.0
Murray Hill-Kips Bay,681.0
Greenwich Village,586.0
Midtown-Times Square,977.0
Chelsea-Hudson Yards,945.0
SoHo-Little Italy-Hudson Square,637.0
Lower East Side,1152.0
Greenwich Village,252.0
Chelsea-Hudson Yards,1550.0
Lower East Side,1492.0
Stuyvesant Town-Peter Cooper Village,1185.0
Financial District-Battery Park City,1261.0
Greenwich Village,402.0
Tribeca-Civic Center,1016.0
Chelsea-Hudson Yards,490.0
Midtown South-Flatiron-Union Square,1005.0
Downtown Brooklyn-DUMBO-Boerum Hill,823.0
Murray Hill-Kips Bay,751.0
Lower East Side,1418.0
Financial District-Battery Park City,498.0
Financial District-Battery Park City,1975.0
Downtown Brooklyn-DUMBO-Boerum Hill,672.0
East Village,941.0
Midtown-Times Square,504.0
East Village,807.0
